park_id,season,effect,n_pa,component,n_components
CHI11,1938,0.002628365387967503,5140,0,2
CIN07,1938,-0.007824453778273417,5197,0,2
NYC14,1938,0.007548684797717917,4878,0,2
NYC15,1938,0.016014880969572567,3901,0,2
PHI09,1938,0.028493730967206154,1978,0,2
PHI11,1938,-0.00036642599998056545,7908,0,2
PIT06,1938,-0.0003033992959638309,4988,0,2
BOS07,1938,0.005292039296350975,4554,1,2
CHI10,1938,-0.004689860627798433,4893,1,2
CLE06,1938,0.005403797933943289,4020,1,2
CLE07,1938,-0.034657747095210516,1125,1,2
DET04,1938,-0.0006200146013254767,5351,1,2
NYC16,1938,-0.002300328546641632,5354,1,2
STL07,1938,0.010331585704607264,10225,1,2
WAS09,1938,-0.012995527220418943,5686,1,2
BOS08,1939,-0.017826303662864675,4745,0,2
CHI11,1939,-0.008969954821138555,5166,0,2
CIN07,1939,0.004220095558782236,5060,0,2
NYC14,1939,0.008222473789818914,4534,0,2
NYC15,1939,0.011286509498909431,5223,0,2
PHI11,1939,-0.0012959905335962834,8629,0,2
PIT06,1939,0.005273952902670095,4650,0,2
BOS07,1939,0.010305844343715788,4489,1,2
CHI10,1939,0.002299210121136143,5032,1,2
CLE06,1939,-8.48287373054681e-05,2828,1,2
CLE07,1939,-0.021677617565234356,2032,1,2
DET04,1939,8.633422407199076e-05,4221,1,2
NYC16,1939,-0.021070355061065468,4467,1,2
STL07,1939,0.015227095402102734,9980,1,2
WAS09,1939,-0.019144423383632567,3748,1,2
BOS08,1940,0.004782520496829479,4631,0,2
CHI11,1940,0.0026385119246503195,5377,0,2
CIN07,1940,-0.008586407034902706,4945,0,2
NYC14,1940,0.006710322838282264,4732,0,2
NYC15,1940,-0.005908737999968586,5228,0,2
PHI11,1940,-0.004458190924927595,8577,0,2
PIT06,1940,0.008224653035379073,5289,0,2
BOS07,1940,0.00936118561466123,4718,1,2
CHI10,1940,-0.007989952333862613,5370,1,2
CLE06,1940,0.021367470032290576,2258,1,2
CLE07,1940,-0.04762629748325054,3017,1,2
DET04,1940,0.005589656646072231,5281,1,2
NYC16,1940,-0.012674504631409783,5023,1,2
STL07,1940,0.015439553709343174,9981,1,2
WAS09,1940,-0.00563787468949367,4572,1,2
BOS07,1941,0.023638892878054714,4986,0,2
CHI10,1941,-0.022502723216335344,5444,0,2
CLE06,1941,0.0028572960811536316,3136,0,2
CLE07,1941,-0.018007400024144513,2247,0,2
DET04,1941,-0.0021702593085112555,5446,0,2
NYC16,1941,-0.006064664920578352,4771,0,2
PHI11,1941,0.012199585188622027,9184,0,2
WAS09,1941,-0.006710671987506078,5237,0,2
BOS08,1941,-0.014479279343898963,5274,1,2
CHI11,1941,0.00016811198498178112,4553,1,2
CIN07,1941,-0.01639671567524798,5271,1,2
NYC14,1941,0.011857268155305849,5270,1,2
NYC15,1941,-0.004008229079037154,5562,1,2
PIT06,1941,0.0006141225850291197,4963,1,2
STL07,1941,0.010365049763174216,11460,1,2
BOS08,1942,-0.009635947326066558,3463,0,2
CHI11,1942,0.011976614015285453,5140,0,2
CIN07,1942,-0.010743118921387391,4925,0,2
NYC14,1942,0.013078388123599297,4802,0,2
NYC15,1942,-0.009219586499426924,5144,0,2
