season,date,gamenum,runs,druns,out,station
1971,19710822,0,7,-3.807038888846639,4.368114128575021,midway
1971,19710823,0,9,-0.3003394294885996,-4.952678694932578,midway
1971,19710824,0,9,2.1476766813456574,4.059402091473843,midway
1971,19710825,0,13,7.724173864627747,3.6725410689018667,midway
1971,19710827,0,3,-3.653510571623889,-4.55846871435832,midway
1971,19710828,0,7,2.9563404092780248,-3.091307275653474,midway
1971,19710829,0,9,3.486978176226896,3.070829111259839,midway
1971,19710830,0,8,4.575508481409935,-2.151780547878171,midway
1971,19710831,1,13,3.5309873842358552,-5.077118639619948,midway
1971,19710831,2,13,3.4355316673436955,-5.077118639619948,midway
1971,19710901,0,7,-2.0329492345794105,-0.49005369259033954,midway
1971,19710902,0,14,1.938012115604412,4.541226997915489,midway
1971,19710910,0,15,-0.5253432386021324,3.1170438007949572,midway
1971,19710911,0,7,-3.1428925570247803,-4.988373517543404,midway
1971,19710912,0,4,-2.5039684876727506,-3.9268391298756207,midway
1971,19710913,0,6,-0.7177731876729601,-2.287732035971085,midway
1971,19710914,0,7,1.6580764405138277,5.35714192005995,midway
1971,19710921,0,3,-5.809104165771754,0.7377799581772782,midway
1971,19710922,0,5,-2.956036360289526,-2.1676387291420713,midway
1971,19710923,0,9,0.621011538112958,-0.032514526375976203,midway
1971,19710924,0,7,0.05418344536780484,-1.3151820750305525,midway
1971,19710925,0,6,0.26382088574280016,-0.7586752620079054,midway
1971,19710926,0,6,0.734545552013534,-1.1315924297697517,midway
1972,19720415,0,6,-1.5289763669212624,-4.018269838053223,midway
1972,19720416,0,4,-0.40512412500051154,-4.989783603893896,midway
1972,19720428,0,18,11.700033378809987,-0.24101715091332626,midway
1972,19720429,0,5,-4.540328893884244,-2.5232786643243856,midway
1972,19720430,0,10,0.7117830722873077,-2.985135045317302,midway
1972,19720502,0,13,7.296132050044595,8.67316727337524,midway
1972,19720503,0,13,8.867475827435833,-1.7354460518421546,midway
1972,19720504,0,8,-2.6313250827997017,-3.005585252209845,midway
1972,19720505,0,3,-2.137378731106535,4.511793643293382,midway
1972,19720506,0,10,-0.12868450723376432,4.472752067632951,midway
1972,19720523,0,3,-1.5916954634003249,-4.920953014601702,midway
1972,19720524,0,6,-4.176360421596847,-1.9152132906689896,midway
1972,19720525,0,5,-5.530414073421983,-6.289703546456662,midway
1972,19720526,0,8,0.9140766946000046,-5.796778699083391,midway
1972,19720527,0,8,0.3874682571456332,-5.322752396803059,midway
1972,19720528,0,12,-2.4824451697972716,2.911034502752318,midway
1972,19720529,0,7,-3.8188520830335966,7.03380592610049,midway
1972,19720531,0,1,-3.1827251820901665,-2.673467746160633,midway
1972,19720601,0,10,-1.1273289470176635,5.097510177865629,midway
1972,19720613,0,7,4.515089652158235,5.19400517334592,midway
1972,19720614,0,21,14.557846715864512,7.765005894475681,midway
1972,19720615,0,11,1.8496839359174349,1.2609350541247548,midway
1972,19720616,0,4,1.996664906649456,-7.078560574500797,midway
1972,19720617,0,9,-2.8741157054496353,-5.527286788677156,midway
1972,19720618,0,9,1.457280225501333,-4.06369640234403,midway
1972,19720619,0,13,-0.5881472475422973,3.012704716320026,midway
1972,19720620,0,23,13.181552580257637,5.001912688844906,midway
1972,19720621,0,4,-8.403975613917574,-4.4903791751379405,midway
1972,19720623,0,6,-2.3214310497779986,-5.859505110044804,midway
1972,19720624,0,4,-2.29975782070242,-1.99243275033363,midway
1972,19720625,0,11,2.641517735768288,-4.203199203356794,midway
1972,19720626,0,12,1.5589930966225762,-5.485207921816476,midway
1972,19720627,1,9,-0.8946815857579786,-3.227445621422099,midway
1972,19720627,2,11,2.712664995931768,-3.227445621422099,midway
1972,19720711,1,11,2.6657600130223793,5.467635936562706,midway
1972,19720711,2,14,5.715493137550117,5.467635936562706,midway
1972,19720712,0,16,10.607411079467159,7.08240058828859,midway
1972,19720713,0,9,2.160985092865988,4.309971453581409,midway
1972,19720714,0,17,13.077096139334392,6.458011196961595,midway
1972,19720715,0,6,1.5298556478276168,2.6389921052883474,midway
1972,19720716,0,8,-3.655281483526591,4.857969340473809,midway
1972,19720717,0,9,6.048340439959688,4.044563399686142,midway
1972,19720718,0,3,-3.300048257201243,1.3359281604020545,midway
1972,19720719,0,7,-3.1596511816207102,2.9030774924558007,midway
1972,19720729,0,5,-4.561117551875992,-3.110353540526586,midway
1972,19720730,1,4,-6.229739249950846,-2.159156250398877,midway
1972,19720730,2,9,1.7133672487437175,-2.159156250398877,midway
1972,19720731,0,4,-4.372438167663235,4.106529420170477,midway
1972,19720808,0,11,7.600908651577025,5.573701968749711,midway
1972,19720809,0,10,1.4295134694993314,-2.4482086409092636,midway
1972,19720810,0,8,-1.3992893607686128,4.47161899445863,midway
1972,19720811,0,9,-0.8781596827146251,5.400776913619614,midway
1972,19720812,0,3,1.2121806281937315,-3.549575404257842,midway
1972,19720813,0,11,4.487646036445787,3.9188983495833583,midway
1972,19720825,0,13,2.236843580441943,0.11324012987365265,midway
1972,19720826,0,19,17.864271411867524,6.727509884447747,midway
1972,19720827,0,12,2.5292849681399456,1.604540328504561,midway
1972,19720829,0,3,-5.183459379571142,1.0552496065159456,midway
1972,19720830,0,17,10.058034461210212,2.88490021433792,midway
1972,19720831,0,8,-2.2642843405755433,2.84607472994585,midway
1972,19720901,0,17,7.08549561538521,-3.8046929131144425,midway
1972,19720902,0,8,-3.833738017990769,-6.905919833061442,midway
1972,19720903,0,3,0.789568028472948,-5.80248191667066,midway
1972,19720912,0,7,1.197633460055565,-1.5667819730289048,midway
1972,19720913,0,10,-1.5743629519035054,6.129968343979333,midway
1972,19720914,0,7,-0.9403960095565421,-4.615081559865452,midway
1972,19720915,0,12,5.523729848089768,6.639997963359643,midway
1972,19720916,0,23,9.85181029137582,8.10652807799316,midway
1972,19720917,0,10,-4.46160857488443,2.275906393053647,midway
1972,19720919,0,9,-0.9359105088727171,0.07591116280589212,midway
1972,19720920,0,8,1.5593628360642138,4.834669753170658,midway
1972,19720929,0,5,-1.1987484516966793,-0.6050010015861901,midway
1972,19720930,0,3,-5.585019168538741,3.8846698616127804,midway
1972,19721001,0,3,-0.4753592193073291,7.961123399588972,midway
1972,19721002,0,7,-1.8478969633000226,3.321372133880768,midway
1972,19721003,0,12,9.162551293630742,4.035004523746347,midway
1972,19721004,0,3,-5.149777203358978,-1.0604496375592811,midway
1973,19730406,0,5,-5.731209915623877,5.646830152448166,midway
1973,19730407,0,5,-2.352491205841431,-4.93414670884194,midway
1973,19730408,0,7,-1.2217797265097636,-8.188720418314148,midway
1973,19730421,0,19,11.788762287921248,2.4474698064123714,midway
1973,19730422,1,14,7.978119788187207,8.386157865214464,midway
1973,19730422,2,14,5.467136408370442,8.386157865214464,midway
1973,19730424,0,6,0.8035095008629873,-5.427297261732751,midway
1973,19730425,0,5,-1.381633880152977,-6.5540560164008665,midway
1973,19730426,0,10,0.2713401925007737,-6.358136612076281,midway
1973,19730427,0,12,5.350823394457694,-7.365517675013891,midway
1973,19730428,0,2,-0.4230097692771735,-1.195083528017134,midway
1973,19730429,0,14,9.758755204934907,-2.9654539345396445,midway
1973,19730511,0,7,-0.09797181828800294,2.4876814736376844,midway
1973,19730512,0,4,0.8591277136933275,1.6638662320571445,midway
