candidate,gain,mean_pre,mean_post,series,case
1927,6.667972883880033,0.0029115148985832087,0.008208097902169642,shrunk,Sportsman's mid-1920s (screen said 1919)
1928,5.765549298815129,0.0033898993026117564,0.008187671009931107,shrunk,Sportsman's mid-1920s (screen said 1919)
1929,5.20865418728224,0.0037279476919624614,0.008190705297608613,shrunk,Sportsman's mid-1920s (screen said 1919)
1930,5.099614252350203,0.003911971995231461,0.00824701972064796,shrunk,Sportsman's mid-1920s (screen said 1919)
1955,0.06902725792411246,0.01185485486884319,0.010165886405929903,raw,Crosley restore 1958 (sub-threshold)
1956,0.21122473176879097,0.012437113225165747,0.009936513919504947,raw,Crosley restore 1958 (sub-threshold)
1957,0.5757551257172686,0.013227191244784196,0.009526827053916265,raw,Crosley restore 1958 (sub-threshold)
1958,0.9086297252224433,0.013449172999212706,0.009141154740776997,raw,Crosley restore 1958 (sub-threshold)
1959,0.20563251130073468,0.011647896229717167,0.009697803948056442,raw,Crosley restore 1958 (sub-threshold)
1960,1.2373232374821335,0.013167040768115814,0.0085354057633037,raw,Crosley restore 1958 (sub-threshold)
1961,0.5084977163880104,0.011961511132824454,0.009045964542262095,raw,Crosley restore 1958 (sub-threshold)
1962,0.010788030765304768,0.01056648134997787,0.010143982636241326,raw,Crosley restore 1958 (sub-threshold)
1963,0.39090471412357886,0.009232052623124938,0.0117945398732383,raw,Crosley restore 1958 (sub-threshold)
1964,1.4598155851973935,0.008425646708625506,0.0134839327453536,raw,Crosley restore 1958 (sub-threshold)
1955,0.014899705702280386,0.011036886121075049,0.01025219258573203,shrunk,Crosley restore 1958 (sub-threshold)
1956,0.045412390863962315,0.011305482295546222,0.010146013924206958,shrunk,Crosley restore 1958 (sub-threshold)
1957,0.12439901365664152,0.011675120853487254,0.009955098735848643,shrunk,Crosley restore 1958 (sub-threshold)
1958,0.19842189298268575,0.011785976217672776,0.009772813590861563,shrunk,Crosley restore 1958 (sub-threshold)
1959,0.04662718803295007,0.010955692884923738,0.010027092442552244,shrunk,Crosley restore 1958 (sub-threshold)
1960,0.2696592984169506,0.011652818628955659,0.009490595826300427,shrunk,Crosley restore 1958 (sub-threshold)
1961,0.1122874413336774,0.011094973728259532,0.009724909032925243,shrunk,Crosley restore 1958 (sub-threshold)
1962,0.0037953954534737377,0.010465307265460891,0.010214706254038254,shrunk,Crosley restore 1958 (sub-threshold)
1963,0.07934070497786383,0.009834166440125783,0.010988614203837437,shrunk,Crosley restore 1958 (sub-threshold)
1964,0.3054385579113976,0.0094575447111005,0.011771294097480995,shrunk,Crosley restore 1958 (sub-threshold)
